     Extent, Source Data,hemisphere
12.673, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/st_19790613-n07_v1.1_n.bin'],north
12.548, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/arc/19790615--n07_v1.1_n.bin'],north
12.517, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/r-19790617--n07_v1.1_n.bin'],north
12.415, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790619--n07_v1.1_n.bin'],north
12.373, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790621_n07_v1.1_n.bin'],north
12.243, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/arc/19790623__n07_v1.1_n.bin'],north
12.112, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/nt_19790625-n07_v1.1_n.bin'],north
11.977, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/r-19790627__n07_v1.1_n.bin'],north
11.829, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/d/19790629_n07_v1.1_n.bin'],north
11.562, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/r-19790701-n07_v1.1_n.bin'],north
11.363, ['ftp://sidads.colorado.edu/pub/DATASETS/nsidc0051_gsfc_nasateam_seaice/final-gsfc/north/daily/1979/n__19790703__n07_v1.1_n.bin'],north
